id,Tournament,Year,Captain,Player,Pick Order,Rank
61,Summer,2021,Maedre the Flame#NA1,JLu TFT#NA1,21,1.0
62,Summer,2021,king kang#HUGE,kingslayer#beep,22,8.0
63,Summer,2021,JS Bach#NA1,Denevolent#12345,23,8.0
64,Summer,2021,xPhanpy#dil,marmarmarmarmar#mar,24,3.5
65,Summer,2021,Yeetor#0828,entropy#NA0,25,2.0
66,Summer,2021,Voidliss#NA1,LightningFst#1008,26,3.5
67,Summer,2021,Sober Teddy#NA1,Cherry Boba,27,8.0
68,Summer,2021,Kiny#0001,AngusMcRib#DLLM,28,5.5
69,Summer,2021,Xemacs#LOR,FirstSeraph#NA1,29,10.0
70,Summer,2021,MangoStalker,PlightOfTheFlake#NA1,30,5.5
71,Summer,2021,MangoStalker,dr3am3ter#NA1,31,5.5
72,Summer,2021,Xemacs#LOR,LadyTree#TREE,32,10.0
73,Summer,2021,Kiny#0001,Glick666#NA1,33,5.5
74,Summer,2021,Sober Teddy#NA1,ariessaxon,34,8.0
75,Summer,2021,Voidliss#NA1,SnuggleHero#NA1,35,3.5
76,Summer,2021,Yeetor#0828,NotElectro#3754,36,2.0
77,Summer,2021,xPhanpy#dil,C0L#NA1,37,3.5
78,Summer,2021,JS Bach#NA1,T1T4NIWNL#5436,38,8.0
79,Summer,2021,king kang#HUGE,CloaknRaven#NA1,39,8.0
80,Summer,2021,Maedre the Flame#NA1,xxxTeem0mainxxx#chalk,40,1.0
81,Summer,2022,No Love#NA1,Ene#TFT,1,7.5
82,Summer,2022,JS Bach#NA1,greenepic#NA1,2,9.5
83,Summer,2022,Voidliss#NA1,police defunder#NA1,3,5.5
84,Summer,2022,Yeetor#0828,Inspiring#309,4,3.5
85,Summer,2022,Xemacs#LOR,xPhanpy#dil,5,1.0
86,Summer,2022,Valkorea#T1WIN,Chikenbagelz#NA1,6,9.5
87,Summer,2022,SincerelyG#inny,abrahampark#NA1,7,7.5
88,Summer,2022,king kang#HUGE,Dark Star#FFG,8,2.0
89,Summer,2022,Maedre the Flame#NA1,WINDWALL MY WIN,9,3.5
90,Summer,2022,SK Telecom T1#Faker,Ixtali Princess#Diva,10,5.5
91,Summer,2022,SK Telecom T1#Faker,Liquid Blade#4th,11,5.5
92,Summer,2022,Maedre the Flame#NA1,KocLV#FREE,12,3.5
93,Summer,2022,king kang#HUGE,Kraber#1tap,13,2.0
94,Summer,2022,SincerelyG#inny,RichGamebuddy#NA1,14,7.5
95,Summer,2022,Valkorea#T1WIN,Maglor1125#NA1,15,9.5
96,Summer,2022,Xemacs#LOR,Bloodyninja1122#NA1,16,1.0
97,Summer,2022,Yeetor#0828,SnuggleHero#NA1,17,3.5
