Year,Tournament,Team 1,Team 2,Result
2022,Summer,Voidliss#NA1,No Love#NA1,Voidliss#NA1
2022,Summer,Yeetor#0828,No Love#NA1,Yeetor#0828
2022,Summer,Voidliss#NA1,JS Bach#NA1,Voidliss#NA1
2022,Summer,Yeetor#0828,JS Bach#NA1,Yeetor#0828
2022,Summer,king kang#HUGE,No Love#NA1,king kang#HUGE
2022,Summer,king kang#HUGE,Voidliss#NA1,king kang#HUGE
2022,Summer,No Love#NA1,JS Bach#NA1,No Love#NA1
2022,Summer,Yeetor#0828,Voidliss#NA1,Yeetor#0828
2022,Summer,king kang#HUGE,JS Bach#NA1,king kang#HUGE
2022,Winter,SK Telecom T1#Faker,Inspiring#309,SK Telecom T1#Faker
2022,Winter,Inspiring#309,abrahampark#NA1,Inspiring#309
2022,Winter,Inspiring#309,Chonky Corp Cat#NA1,Inspiring#309
2022,Winter,Chonky Corp Cat#NA1,JS Bach#NA1,Chonky Corp Cat#NA1
2022,Winter,Inspiring#309,JS Bach#NA1,Inspiring#309
2022,Winter,Inspiring#309,JS Bach#NA1,Inspiring#309
2022,Winter,Chonky Corp Cat#NA1,Inspiring#309,Chonky Corp Cat#NA1
2022,Winter,JS Bach#NA1,Chonky Corp Cat#NA1,JS Bach#NA1
2022,Winter,SK Telecom T1#Faker,Chonky Corp Cat#NA1,SK Telecom T1#Faker
2022,Winter,SK Telecom T1#Faker,Zeteo#NA1,SK Telecom T1#Faker
2022,Winter,abrahampark#NA1,SK Telecom T1#Faker,abrahampark#NA1
2022,Winter,abrahampark#NA1,Zeteo#NA1,abrahampark#NA1
2022,Winter,SK Telecom T1#Faker,Zeteo#NA1,SK Telecom T1#Faker
2022,Winter,SK Telecom T1#Faker,abrahampark#NA1,SK Telecom T1#Faker
2022,Winter,abrahampark#NA1,Zeteo#NA1,abrahampark#NA1
2021,Summer,TranquilTurtle#NA1,Yeetor#0828,TranquilTurtle#NA1
2021,Summer,TranquilTurtle#NA1,Voidliss#NA1,TranquilTurtle#NA1
2021,Summer,Yeetor#0828,xPhanpy#dil,Yeetor#0828
2021,Summer,Voidliss#NA1,Salt Frog#NA1,Voidliss#NA1
2021,Summer,xPhanpy#dil,Kiny#0001,xPhanpy#dil
2021,Summer,xPhanpy#dil,Xemacs#LOR,xPhanpy#dil
2021,Summer,Voidliss#NA1,Xemacs#LOR,Voidliss#NA1
2021,Summer,Voidliss#NA1,Kiny#0001,Voidliss#NA1
2021,Summer,Salt Frog#NA1,Xemacs#LOR,Salt Frog#NA1
2021,Summer,Salt Frog#NA1,xPhanpy#dil,Salt Frog#NA1
2021,Summer,Kiny#0001,Xemacs#LOR,Kiny#0001
2021,Summer,Voidliss#NA1,xPhanpy#dil,Voidliss#NA1
2021,Summer,Kiny#0001,Salt Frog#NA1,Kiny#0001
2021,Summer,JS Bach#NA1,Sober Teddy#NA1,JS Bach#NA1
2021,Summer,Yeetor#0828,king kang#HUGE,Yeetor#0828
2021,Summer,Sober Teddy#NA1,king kang#HUGE,Sober Teddy#NA1
2021,Summer,JS Bach#NA1,TranquilTurtle#NA1,JS Bach#NA1
2021,Summer,Yeetor#0828,Sober Teddy#NA1,Yeetor#0828
2021,Summer,TranquilTurtle#NA1,king kang#HUGE,TranquilTurtle#NA1
2021,Summer,TranquilTurtle#NA1,Sober Teddy#NA1,TranquilTurtle#NA1
2021,Summer,JS Bach#NA1,Yeetor#0828,Yeetor#0828
2021,Summer,king kang#HUGE,JS Bach#NA1,king kang#HUGE
2021,Summer,Yeetor#0828,TranquilTurtle#NA1,Yeetor#0828
2021,Winter,TranquilTurtle#NA1,SK Telecom T1#Faker,TranquilTurtle#NA1
2021,Winter,SK Telecom T1#Faker,Voidliss#NA1,SK Telecom T1#Faker
2021,Winter,TranquilTurtle#NA1,Zeteo#NA1,TranquilTurtle#NA1
2021,Winter,Voidliss#NA1,abrahampark#NA1,Voidliss#NA1
2021,Winter,koclv#FREE,Xemacs#LOR,koclv#FREE
2021,Winter,TranquilTurtle#NA1,abrahampark#NA1,TranquilTurtle#NA1
2021,Winter,Voidliss#NA1,koclv#FREE,Voidliss#NA1
2021,Winter,TranquilTurtle#NA1,Xemacs#LOR,TranquilTurtle#NA1
2021,Winter,TranquilTurtle#NA1,Voidliss#NA1,TranquilTurtle#NA1
2021,Winter,koclv#FREE,abrahampark#NA1,koclv#FREE
2021,Winter,abrahampark#NA1,Xemacs#LOR,abrahampark#NA1
2021,Winter,TranquilTurtle#NA1,koclv#FREE,TranquilTurtle#NA1
2021,Winter,Voidliss#NA1,Xemacs#LOR,Voidliss#NA1
2021,Winter,Chadelure#000,SK Telecom T1#Faker,Chadelure#000
2021,Winter,Liquid Blade#4th,JS Bach#NA1,Liquid Blade#4th
2021,Winter,SK Telecom T1#Faker,Liquid Blade#4th,SK Telecom T1#Faker
2021,Winter,Zeteo#NA1,JS Bach#NA1,Zeteo#NA1
2021,Winter,Chadelure#000,Zeteo#NA1,Zeteo#NA1
2021,Winter,SK Telecom T1#Faker,JS Bach#NA1,SK Telecom T1#Faker
2021,Winter,Zeteo#NA1,Liquid Blade#4th,Zeteo#NA1
2021,Winter,JS Bach#NA1,Chadelure#000,JS Bach#NA1
2021,Winter,SK Telecom T1#Faker,Zeteo#NA1,SK Telecom T1#Faker
2021,Winter,Liquid Blade#4th,Chadelure#000,Liquid Blade#4th
2020,Summer,Xemacs#LOR,king kang#HUGE,king kang#HUGE
2020,Summer,king kang#HUGE,Dark Star#FFG,king kang#HUGE
2020,Summer,Xemacs#LOR,king kang#HUGE,Xemacs#LOR
2020,Summer,Dark Star#FFG,TranquilTurtle#NA1,Dark Star#FFG
2020,Summer,Xemacs#LOR,yabuo#BUO,Xemacs#LOR
2020,Summer,xPhanpy#dil,Liquid Blade#4th,xPhanpy#dil
2020,Summer,king kang#HUGE,War Koala#1650,king kang#HUGE
2020,Summer,JLu TFT#NA1,abrahampark#NA1,JLu TFT#NA1
2020,Summer,xPhanpy#dil,yabuo#BUO,xPhanpy#dil
2020,Summer,Xemacs#LOR,Dark Star#FFG,Xemacs#LOR
2020,Summer,JLu TFT#NA1,king kang#HUGE,king kang#HUGE
2020,Summer,War Koala#1650,TranquilTurtle#NA1,TranquilTurtle#NA1
2020,Summer,xPhanpy#dil,Xemacs#LOR,Xemacs#LOR
2020,Summer,Dark Star#FFG,Liquid Blade#4th,Dark Star#FFG
2020,Summer,JLu TFT#NA1,War Koala#1650,JLu TFT#NA1
2020,Summer,Xemacs#LOR,Liquid Blade#4th,Liquid Blade#4th
2020,Summer,yabuo#BUO,Dark Star#FFG,Dark Star#FFG
2020,Summer,War Koala#1650,abrahampark#NA1,War Koala#1650
2020,Summer,king kang#HUGE,TranquilTurtle#NA1,king kang#HUGE
2020,Summer,Liquid Blade#4th,yabuo#BUO,Liquid Blade#4th
2020,Summer,Dark Star#FFG,xPhanpy#dil,Dark Star#FFG
2020,Summer,TranquilTurtle#NA1,JLu TFT#NA1,TranquilTurtle#NA1
2020,Summer,abrahampark#NA1,king kang#HUGE,king kang#HUGE
